STATE       max_month  max_prcp   min_month  min_prcp   diff      
DC          12         0.0        12         0.0        0.0       
NV          02         0.645      08         0.2        0.445     
UT          01         1.235      11         0.4975     0.7375    
MN          06         0.835      01         0.04       0.795     
MI          06         1.4025     02         0.535      0.8675    
AK          09         1.695      03         0.8125     0.8825    
ID          06         1.53       08         0.3525     1.1775    
RI          04         2.5425     10         1.3475     1.195     
NC          06         2.295      10         1.0125     1.2825    
CO          08         1.545      11         0.2525     1.2925    
VA          06         1.89       02         0.57       1.32      
GA          07         2.4575     11         1.1075     1.35      
IL          04         1.915      11         0.5525     1.3625    
WI          06         1.7775     11         0.3675     1.41      
IA          06         1.6175     01         0.1625     1.455     
AZ          07         1.6675     11         0.2        1.4675    
TX          03         2.07       11         0.55       1.52      
WY          05         1.89       11         0.2425     1.6475    
AL          07         3.985      09         2.16       1.825     
NE          06         2.05       11         0.1875     1.8625    
NM          07         2.0575     11         0.135      1.9225    
LA          07         3.67       11         1.6625     2.0075    
MD          06         2.9525     08         0.9325     2.02      
MS          01         4.2        11         2.1625     2.0375    
CA          02         2.1325     07         0.05       2.0825    
WV          06         3.3475     02         1.2575     2.09      
MT          05         2.515      01         0.3125     2.2025    
IN          06         3.465      11         1.2375     2.2275    
OK          06         2.6025     01         0.355      2.2475    
KY          05         4.16       11         1.8225     2.3375    
SC          06         3.9875     11         1.61       2.3775    
NY          06         4.3875     02         1.94       2.4475    
OH          06         4.2475     11         1.775      2.4725    
TN          05         4.895      08         2.395      2.5       
CT          06         4.77       12         2.2625     2.5075    
PA          06         4.56       02         1.9725     2.5875    
ME          06         4.6325     12         2.045      2.5875    
ND          06         3.0625     02         0.3825     2.68      
NJ          06         4.8425     02         1.995      2.8475    
MA          06         5.4325     08         2.54       2.8925    
SD          06         3.345      01         0.345      3.0       
NH          06         5.7025     03         2.4925     3.21      
PR          05         3.4525     02         0.1325     3.32      
DE          06         4.305      08         0.9725     3.3325    
VT          07         5.42       11         2.045      3.375     
OR          01         3.645      07         0.2225     3.4225    
AR          04         5.3825     11         1.695      3.6875    
HI          03         4.2975     08         0.5925     3.705     
WA          01         4.465      07         0.335      4.13      
MO          06         5.8375     11         1.6325     4.205     
FL          07         5.95       11         1.0275     4.9225    
VI          10         6.265      03         1.2775     4.9875    
KS          06         5.6925     11         0.5        5.1925    
